#Time,pitch(deg),roll(deg),yaw(deg),X-Acceleration(g),Y-Acceleration(g),Z-Acceleration(g),Pressure(Millibars),Temperature(deg C),Humidity(%)
0.145,-0.070,2.169,-132.429,0.988,0.041,0.007,1031.230,33.223,40.331
0.181,-0.086,2.173,-132.393,0.991,0.041,0.006,1031.231,33.223,40.331
0.216,-0.096,2.179,-132.372,0.986,0.042,0.010,1031.231,33.041,40.010
0.247,-0.106,2.183,-132.361,0.987,0.040,0.008,1031.229,33.041,40.010
0.282,-0.121,2.194,-132.341,0.994,0.040,0.003,1031.231,33.041,40.010
0.318,-0.130,2.200,-132.334,0.992,0.038,0.002,1031.239,33.041,40.010
0.351,-0.134,2.201,-132.341,0.993,0.044,0.008,1031.242,33.168,40.141
0.386,-0.138,2.207,-132.335,0.989,0.040,0.011,1031.242,33.168,40.141
0.417,-0.149,2.209,-132.320,0.995,0.041,0.005,1031.242,33.168,40.141
0.452,-0.160,2.219,-132.300,0.993,0.038,0.001,1031.242,33.168,40.141
0.489,-0.167,2.223,-132.297,0.990,0.042,0.007,1031.244,33.186,40.766
0.520,-0.174,2.224,-132.299,0.988,0.042,0.009,1031.242,33.186,40.766
0.556,-0.180,2.227,-132.299,0.992,0.041,0.009,1031.237,33.186,40.766
0.586,-0.192,2.236,-132.278,0.990,0.040,0.003,1031.237,33.186,40.766
0.623,-0.199,2.241,-132.272,0.992,0.038,0.001,1031.238,33.168,40.814
0.658,-0.202,2.243,-132.273,0.989,0.044,0.009,1031.236,33.168,40.814
0.689,-0.210,2.253,-132.262,0.988,0.042,0.011,1031.232,33.168,40.814
0.726,-0.220,2.255,-132.255,0.992,0.040,0.004,1031.231,33.223,41.661
0.759,-0.225,2.264,-132.248,0.993,0.039,0.003,1031.228,33.223,41.661
0.790,-0.229,2.266,-132.243,0.993,0.041,0.007,1031.228,33.223,41.661
0.825,-0.233,2.273,-132.240,0.992,0.041,0.011,1031.226,33.223,41.661
0.861,-0.236,2.273,-132.241,0.991,0.038,0.007,1031.222,33.259,40.540
0.895,-0.245,2.276,-132.229,0.996,0.040,0.004,1031.216,33.259,40.540
0.934,-0.251,2.280,-132.218,0.991,0.039,0.002,1031.216,33.259,40.540
0.980,-0.247,2.281,-132.237,0.994,0.039,0.009,1031.213,33.259,40.540
1.031,-0.260,2.277,-132.233,0.988,0.042,0.010,1031.211,33.168,40.602
1.073,-0.271,2.282,-132.209,0.995,0.045,0.002,1031.209,33.168,40.602
1.120,-0.264,2.293,-132.219,0.989,0.039,0.005,1031.208,33.114,39.787
1.152,-0.266,2.291,-132.237,0.993,0.043,0.002,1031.212,33.114,39.787
1.184,-0.266,2.294,-132.252,0.988,0.042,0.010,1031.219,33.114,39.787
1.219,-0.270,2.298,-132.254,0.989,0.041,0.011,1031.226,33.114,39.787
